"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Windlas Biotech Limited","EQ","   460","WINDLAS","04-AUG-2021","06-AUG-2021","Rs.448 to Rs.460","16-AUG-2021"
"Krsnaa Diagnostics Limited","EQ","   954","KRSNAA","04-AUG-2021","06-AUG-2021","Rs.933 to Rs.954","16-AUG-2021"
"Exxaro Tiles Limited","BE","   120","EXXARO","04-AUG-2021","06-AUG-2021","Rs.118 to Rs.120","16-AUG-2021"
"Rolex Rings Limited","EQ","   900","ROLEXRINGS","28-JUL-2021","30-JUL-2021","Rs.880 to Rs.900","09-AUG-2021"
"Rex Pipes and Cables Industries Limited","SME",,"REXPIPES","28-JUL-2021","02-AUG-2021","26","10-AUG-2021"
"Network People Services Technologies Limited","SME",,"NPST","28-JUL-2021","02-AUG-2021","80","10-AUG-2021"
"Glenmark Life Sciences Limited","EQ","   720","GLS","27-JUL-2021","29-JUL-2021","Rs.695 to Rs.720","06-AUG-2021"
"Tatva Chintan Pharma Chem Limited","EQ","  1083","TATVA","16-JUL-2021","20-JUL-2021","Rs.1073 to Rs.1083","29-JUL-2021"
"Zomato Limited","EQ","    76","ZOMATO","14-JUL-2021","16-JUL-2021","Rs.72 to Rs.76","23-JUL-2021"
"Piramal Capital and Housing Finance Limited","DEBT","-","PCHFRD","12-JUL-2021","19-JUL-2021","Rs.1000","-"
"G R Infraprojects Limited","EQ","   837","GRINFRA","07-JUL-2021","09-JUL-2021","Rs.828 to Rs.837","19-JUL-2021"
"Clean Science and Technology Limited","EQ","   900","CLEAN","07-JUL-2021","09-JUL-2021","Rs.880 to Rs.900","19-JUL-2021"
"IIFL Home Finance Limited","N1","  1000","IHFL261224","06-JUL-2021","28-JUL-2021","Rs.1000","30-DEC-2024"
"Walpar Nutritions Limited","SME",,"WALPAR","30-JUN-2021","05-JUL-2021","55","13-JUL-2021"
"India Pesticides Limited","EQ","   296","IPL","23-JUN-2021","25-JUN-2021","Rs.290 to 296","05-JUL-2021"
"Dodla Dairy Limited","EQ","   428","DODLA","16-JUN-2021","18-JUN-2021","Rs.421 to Rs.428","28-JUN-2021"
"Krishna Institute of Medical Sciences Limited","EQ","   825","KIMS","16-JUN-2021","18-JUN-2021","Rs.815 to Rs.825","28-JUN-2021"
"Sona BLW Precision Forgings Limited","EQ","   291","SONACOMS","14-JUN-2021","16-JUN-2021","Rs.285 to Rs.291","24-JUN-2021"
"Shyam Metalics and Energy Limited","EQ","   306","SHYAMMETL","14-JUN-2021","16-JUN-2021","Rs.303 to Rs.306","24-JUN-2021"
"Abhishek Integrations Limited","SME",,"AILIMITED","08-JUN-2021","11-JUN-2021","50","21-JUN-2021"
"POWERGRID Infrastructure Investment Trust","IV","   100","PGINVIT","29-APR-2021","03-MAY-2021","Rs 99 to Rs 100","14-MAY-2021"
"India Grid Trust","NF","  1000","INDIGRID","28-APR-2021","30-APR-2021","Rs.1000","10-MAY-2021"
"Macrotech Developers Limited","EQ","   486","LODHA","07-APR-2021","09-APR-2021","Rs.483 to Rs.486","19-APR-2021"
"V-Marc India Limited","SME",,"VMARCIND","25-MAR-2021","31-MAR-2021","Rs 37 to Rs 39","-"
"Barbeque-Nation Hospitality Limited","EQ","-","BARBEQUE","24-MAR-2021","26-MAR-2021","Rs.498 to 500","-"
"Siddhika Coatings Limited","SME",,"SIDDHIKA","24-MAR-2021","26-MAR-2021","57","07-APR-2021"
"Nazara Technologies Limited","EQ","  1101","NAZARA","17-MAR-2021","19-MAR-2021","Rs.1100 to 1101","30-MAR-2021"
"Suryoday Small Finance Bank Limited","EQ","   305","SURYODAY","17-MAR-2021","19-MAR-2021","Rs.303 to 305","26-MAR-2021"
"Kalyan Jewellers India Limited","EQ","    87","KALYANKJIL","16-MAR-2021","18-MAR-2021","Rs.86 to 87","26-MAR-2021"
"Laxmi Organic Industries Limited","EQ","   130","LXCHEM","15-MAR-2021","17-MAR-2021","Rs.129 to Rs.130","25-MAR-2021"
"Craftsman Automation Limited","EQ","  1490","CRAFTSMAN","15-MAR-2021","17-MAR-2021","Rs.1488 to Rs.1490","25-MAR-2021"
"Anupam Rasayan India Limited","W1","   236","ANURAS","12-MAR-2021","16-MAR-2021","Rs.553 to Rs.555","10-MAY-2024"
"Easy Trip Planners Limited","EQ","   187","EASEMYTRIP","08-MAR-2021","10-MAR-2021","Rs.186 to Rs.187","19-MAR-2021"
"MTAR Technologies Limited","EQ","   575","MTARTECH","03-MAR-2021","05-MAR-2021","Rs.574 to Rs.575","15-MAR-2021"
"IIFL Finance Limited","Y1","  1000","IIFL","03-MAR-2021","18-MAR-2021","Rs.1000","03-JUL-2023"
"Pavna Industries Limited","SME",,"PAVNAIND","24-FEB-2021","01-MAR-2021","165","09-MAR-2021"
"Heranba Industries Limited","EQ","   627","HERANBA","23-FEB-2021","25-FEB-2021","Rs.626 to Rs.627","05-MAR-2021"
"Party Cruisers Limited","SME",,"PARTYCRUS","22-FEB-2021","25-FEB-2021","51","05-MAR-2021"
"RailTel Corporation of India Limited","EQ","    94","RAILTEL","16-FEB-2021","18-FEB-2021","Rs.93 to Rs.94","26-FEB-2021"
"Nureca Limited","BE","   400","NURECA","15-FEB-2021","17-FEB-2021","Rs.396 to Rs.400","25-FEB-2021"
"Brookfield India Real Estate Trust","RR","   275","BIRET","03-FEB-2021","05-FEB-2021","Rs 274 to Rs 275","16-FEB-2021"
"Stove Kraft Limited","EQ","   385","STOVEKRAFT","25-JAN-2021","28-JAN-2021","Rs.384 to Rs.385","05-FEB-2021"
"Home First Finance Company India Limited","EQ","   518","HOMEFIRST","21-JAN-2021","25-JAN-2021","Rs.517 to Rs.518","03-FEB-2021"
"Indigo Paints Limited","EQ","  1490","INDIGOPNTS","20-JAN-2021","22-JAN-2021","Rs.1488 to Rs.1490","02-FEB-2021"
"Indian Railway Finance Corporation Limited","NS","######","IRFC","18-JAN-2021","20-JAN-2021","Rs.25 to Rs.26","20-MAR-2024"
"Antony Waste Handling Cell Limited","EQ","   315","AWHCL","21-DEC-2020","23-DEC-2020","Rs.313 to Rs.315","01-JAN-2021"
"Mrs. Bectors Food Specialities Limited","EQ","   288","BECTORFOOD","15-DEC-2020","17-DEC-2020","Rs.286 to Rs.288","24-DEC-2020"
"Burger King India Limited","EQ","    60","BURGERKING","02-DEC-2020","04-DEC-2020","Rs.59 to Rs.60","14-DEC-2020"
"Gland Pharma Limited","EQ","  1500","GLAND","09-NOV-2020","11-NOV-2020","Rs.1490 to Rs.1500","20-NOV-2020"
"Equitas Small Finance Bank Limited","EQ","    33","EQUITASBNK","20-OCT-2020","22-OCT-2020","Rs.32 to Rs.33","02-NOV-2020"
"Bodhi Tree Multimedia Limited","SME",,"BTML","09-OCT-2020","13-OCT-2020","95","21-OCT-2020"
"AAA Technologies Limited","SME",,"AAATECH","30-SEP-2020","05-OCT-2020","72","28-NOV-2022"
"Atal Realtech Limited","SME",,"ATALREAL","30-SEP-2020","07-OCT-2020","72","15-OCT-2020"
"UTI Asset Management Company Limited","EQ","   554","UTIAMC","29-SEP-2020","01-OCT-2020","Rs.552 to Rs.554","12-OCT-2020"
"Mazagon Dock Shipbuilders Limited","EQ","   145","MAZDOCK","29-SEP-2020","01-OCT-2020","Rs.135 to Rs.145","12-OCT-2020"
"Likhitha Infrastructure Limited","BE","   120","LIKHITHA","29-SEP-2020","07-OCT-2020","Rs.116 to Rs.120","15-OCT-2020"
"Sigma Solve Limited","SME",,"SIGMA","29-SEP-2020","09-OCT-2020","295","09-JUN-2023"
"Angel Broking Limited","EQ","   306","ANGELBRKG","22-SEP-2020","24-SEP-2020","Rs.305 to Rs.306","05-OCT-2020"
"Chemcon Speciality Chemicals Limited","EQ","   340","CHEMCON","21-SEP-2020","23-SEP-2020","Rs.338 to Rs.340","01-OCT-2020"
"Computer Age Management Services Limited","EQ","  1240","CAMS","21-SEP-2020","23-SEP-2020","Rs.1229 to Rs.1230","07-MAY-2021"
"Route Mobile Limited","EQ","   350","ROUTE","09-SEP-2020","11-SEP-2020","Rs.345 to Rs.350","21-SEP-2020"
"Happiest Minds Technologies Limited","EQ","   166","HAPPSTMNDS","07-SEP-2020","09-SEP-2020","Rs.165 to Rs.166","17-SEP-2020"
"Mindspace Business Parks REIT","RR","   275","MINDSPACE","27-JUL-2020","29-JUL-2020","Rs 274 to Rs 275","07-AUG-2020"
"Yes Bank Limited - FPO","EQ","-","YESBANK","15-JUL-2020","17-JUL-2020","Rs.12 to Rs.13","-"
"Rossari Biotech Limited","EQ","   425","ROSSARI","13-JUL-2020","15-JUL-2020","Rs.423 to Rs.425","23-JUL-2020"
"Ksolves India Limited","SME",,"KSOLVES","23-JUN-2020","26-JUN-2020","406","23-SEP-2022"
"Laxmi Goldorna House Limited","SME",,"LGHL","20-MAR-2020","03-APR-2020","135","10-NOV-2023"
"Antony Waste Handling Cell Limited - Issue Withdrawn","EQ","-","AWHCL","04-MAR-2020","16-MAR-2020","Rs.294 to Rs.300","-"
"SBI Cards and Payment Services Limited","EQ","   755","SBICARD","02-MAR-2020","05-MAR-2020","Rs.750 to Rs.755","16-MAR-2020"
"Madhav Copper Limited","SME",,"MCL","27-JAN-2020","30-JAN-2020","70","19-AUG-2020"
"ITI Limited FPO - Issue Withdrawn","EQ","-","ITI","24-JAN-2020","05-FEB-2020","Rs.72 to Rs.77","-"
"Hindprakash Industries Limited","SME",,"HPIL","15-JAN-2020","17-JAN-2020","40","27-JAN-2020"
"Tata Capital Housing Finance Limited","NG","######","805TCHFL29","07-JAN-2020","08-JAN-2020","Rs.1000","20-JUN-2024"
"Shriram Transport Finance Company Limited","DEBT","-","SNCD9T2","06-JAN-2020","22-JAN-2020","Rs.1000","-"
"Vaxtex Cotfab Limited","SME",,"VCL","27-DEC-2019","03-JAN-2020","24","13-JAN-2020"
"Prince Pipes and Fittings Limited","EQ","   178","PRINCEPIPE","18-DEC-2019","20-DEC-2019","Rs.177 to Rs.178","30-DEC-2019"
"L&T Finance Limited","Y4","  1000","L&TFINANCE","16-DEC-2019","17-DEC-2019","Rs.1000","26-DEC-2019"
"DC Infotech and Communication Limited","SME",,"DCI","12-DEC-2019","18-DEC-2019","45","27-DEC-2019"
"Ujjivan Small Finance Bank Limited","EQ","    37","UJJIVANSFB","02-DEC-2019","04-DEC-2019","Rs.36 to Rs.37","12-DEC-2019"
"Ascom Leasing & Investments Limited","SME",,"ASCOM","26-NOV-2019","28-NOV-2019","30","-"
"CSB Bank Limited","EQ","   195","CSBBANK","22-NOV-2019","26-NOV-2019","Rs.193 to Rs.195","04-DEC-2019"
"Mangalam Global Enterprise Limited","SME",,"MGEL","15-NOV-2019","20-NOV-2019","41","23-DEC-2020"
"Indian Railway Catering and Tourism Corporation Limited","EQ","   320","IRCTC","30-SEP-2019","03-OCT-2019","Rs.315 to Rs.320","14-OCT-2019"
"Vishwaraj Sugar Industries Limited","BE","    60","VISHWARAJ","30-SEP-2019","04-OCT-2019","Rs.55 to Rs.60","15-OCT-2019"
"Sona Hi Sona Jewellers (Gujarat) Limited","SME",,"SONAHISONA","30-SEP-2019","04-OCT-2019","10","-"
"Shiv Aum Steels Limited","SME",,"SHIVAUM","19-SEP-2019","23-SEP-2019","44","-"
"Salasar Exteriors And Contour Limited","SME",,"SECL","28-AUG-2019","03-SEP-2019","36","12-SEP-2019"
"Tata Capital Financial Services Ltd","DEBT","-","TCFNCD2","13-AUG-2019","20-AUG-2019","Rs.1000","-"
"Sterling & Wilson Solar Limited","EQ","-","SWSL","06-AUG-2019","08-AUG-2019","Rs.775 to Rs.780","-"
"India Infoline Finance Limited","NL","  1000","IIFLFIN","06-AUG-2019","30-AUG-2019","Rs.1000","09-SEP-2019"
"Spandana Sphoorty Financial Limited","EQ","   856","SPANDANA","05-AUG-2019","07-AUG-2019","Rs.853 to Rs.856","19-AUG-2019"
"Indiabulls Consumer Finance Limited","NM","  1000","ICFL","31-JUL-2019","30-AUG-2019","Rs.1000","11-SEP-2019"
"Affle India Limited","EQ","-","AFFLE","29-JUL-2019","31-JUL-2019","Rs.740 to Rs.745","-"
"Wonder Fibromats Limited","SME",,"WFL","22-JUL-2019","29-JUL-2019","89","06-AUG-2019"
"Shriram Transport Finance Company Limited","ZB","  1000","SRTRANSFIN","17-JUL-2019","16-AUG-2019","Rs.1000","26-AUG-2019"
"K.P.R. Agrochem Limited","EQ","-","KPRAGRO","28-JUN-2019","02-JUL-2019","Rs 59 to Rs 61","-"
"AB Infrabuild Limited","SME",,"ABINFRA","28-JUN-2019","03-JUL-2019","29","-"
"IndiaMART InterMESH Limited","EQ","   973","INDIAMART","24-JUN-2019","26-JUN-2019","Rs 970 to Rs 973","04-JUL-2019"
"Alumilite Architecturals Limited","SME",,"ALUMILITE","24-JUN-2019","28-JUN-2019","30","-"
"Sudarshan Pharma Industries Limited","SME",,"SUDARSHAN","12-JUN-2019","21-JUN-2019","72","-"
"Indiabulls Consumer Finance Limited","NM","  1000","ICFL","30-MAY-2019","21-JUN-2019","Rs 1000","11-SEP-2019"
"Par Drugs and Chemicals Limited","SME",,"PAR","03-MAY-2019","08-MAY-2019","124","16-SEP-2021"
"Neogen Chemicals Limited","BE","   215","NEOGEN","24-APR-2019","26-APR-2019","Rs 212 to Rs 215","08-MAY-2019"
"Magma Fincorp Limited","N7","  1000","MAGMA","08-APR-2019","30-APR-2019","Rs.1000","09-MAY-2019"
"L&T Finance Limited","Y4","  1000","L&TFINANCE","08-APR-2019","09-APR-2019","Rs.1000","26-DEC-2019"
"Polycab India Limited","EQ","   538","POLYCAB","05-APR-2019","09-APR-2019","Rs 533 to Rs 538","16-APR-2019"
"Metropolis Healthcare Limited","EQ","   880","METROPOLIS","03-APR-2019","05-APR-2019","Rs 877 to Rs 880","15-APR-2019"
"Rail Vikas Nigam Limited","EQ","    19","RVNL","29-MAR-2019","03-APR-2019","Rs 17 to Rs 19","11-APR-2019"
"OSIA Hyper Retail Limited","SME",,"OSIAHYPER","26-MAR-2019","28-MAR-2019","295","01-DEC-2022"
"KHFM Hospitality and Facility Management Serv Ltd","SME",,"KHFM","22-MAR-2019","04-APR-2019","36","12-APR-2019"
"Embassy Office Parks REIT","RR","   300","EMBASSY","18-MAR-2019","20-MAR-2019","Rs 299 to Rs 300","01-APR-2019"
"Artedz Fabs Limited","SME",,"ARTEDZ","18-MAR-2019","20-MAR-2019","36","29-MAR-2019"
"MSTC Limited","EQ","   120","MSTCLTD","13-MAR-2019","20-MAR-2019","Rs 120 to Rs 128","29-MAR-2019"
"L&T Finance Limited","Y4","  1000","L&TFINANCE","06-MAR-2019","07-MAR-2019","Rs.1000","26-DEC-2019"
"Mindpool Technologies Limited","SME",,"MINDPOOL","14-FEB-2019","20-FEB-2019","30","28-FEB-2019"
"Indiabulls Consumer Finance Limited","NM","  1000","ICFL","04-FEB-2019","01-MAR-2019","Rs.1000","11-SEP-2019"
"Chalet Hotels Limited","EQ","   280","CHALET","29-JAN-2019","31-JAN-2019","Rs.275 to Rs.280","07-FEB-2019"
"Surani Steel Tubes Limited","SME",,"SURANI","25-JAN-2019","29-JAN-2019","52","06-FEB-2019"
"Xelpmoc Design and Tech Limited","BE","    66","XELPMOC","23-JAN-2019","25-JAN-2019","Rs.62 to Rs.66","04-FEB-2019"
"India Infoline Finance Limited","NL","  1000","IIFLFIN","22-JAN-2019","01-FEB-2019","Rs.1000","09-SEP-2019"
"Shriram Transport Finance Company Limited","ZB","  1000","SRTRANSFIN","07-JAN-2019","31-JAN-2019","Rs.1000","26-AUG-2019"
"ECL Finance Limited","NP","  1000","ECLFINANCE","13-DEC-2018","31-DEC-2018","Rs.1000","08-JAN-2019"
"DRS Dilip Roadlines Limited","SME",,"DRSDILIP","27-NOV-2018","30-NOV-2018","75","10-DEC-2018"
"Shubhlaxmi Jewel Art Limited","SME",,"SHUBHLAXMI","22-NOV-2018","27-NOV-2018","26","04-DEC-2018"
"ICL Multitrading India Limited","SME",,"ICL","19-NOV-2018","03-DEC-2018","85","-"
"Shriram Transport Finance Company Limited","ZB","  1000","SRTRANSFIN","15-OCT-2018","29-OCT-2018","Rs.1000","26-AUG-2019"
"Ultra Wiring Connectivity System Limited","SME",,"UWCSL","12-OCT-2018","17-OCT-2018","35","26-OCT-2018"
"Iris Clothings Limited","SME",,"IRISDOREME","10-OCT-2018","12-OCT-2018","60","22-FEB-2021"
"Dinesh Engineers Limited","EQ","-","DEPL","28-SEP-2018","03-OCT-2018","Rs 183 to Rs 185","-"
"Marine Electricals (India) Limited","SME",,"MARINE","28-SEP-2018","03-OCT-2018","191.05","02-DEC-2020"
"Vinny Overseas Limited","SME",,"VINNY","28-SEP-2018","03-OCT-2018","80","28-NOV-2022"
"B&B Triplewall Containers Limited","SME",,"BBTCL","28-SEP-2018","05-OCT-2018","230","23-NOV-2022"
"Silgo Retail Limited","SME",,"SILGO","27-SEP-2018","03-OCT-2018","41","03-MAR-2021"
"Kritika Wires Limited","SME",,"KRITIKA","26-SEP-2018","01-OCT-2018","40","04-MAY-2022"
"Parin Furniture Limited","SME",,"PARIN","26-SEP-2018","28-SEP-2018","63","09-OCT-2018"
"Aavas Financiers Limited","EQ","   821","AAVAS","25-SEP-2018","27-SEP-2018","Rs 818 to Rs 821","08-OCT-2018"
"Garden Reach Shipbuilders & Engineers Limited","EQ","   118","GRSE","24-SEP-2018","01-OCT-2018","Rs 114 to Rs 118","10-OCT-2018"
"Rajnandini Metal Limited","SME",,"RAJMET","24-SEP-2018","27-SEP-2018","31.05","16-FEB-2021"
"Kshitij Polyline Limited","SME",,"KSHITIJPOL","21-SEP-2018","27-SEP-2018","31","27-JUL-2022"
"Ircon International Limited","EQ","   475","IRCON","17-SEP-2018","19-SEP-2018","Rs 470 to Rs 475","28-SEP-2018"
"Spectrum Electrical Industries Limited","SME",,"SPECTRUM","17-SEP-2018","21-SEP-2018","65","01-OCT-2018"
"Indiabulls Commercial Credit Limited","NZ","  1000","IBUCCREDIT","11-SEP-2018","14-SEP-2018","Rs.1000","27-APR-2023"
"Ahlada Engineers Limited","SME",,"AHLADA","11-SEP-2018","18-SEP-2018","69.5","28-JAN-2021"
"Tata Capital Financial Services Limited","YD","######","TCFSL","10-SEP-2018","18-SEP-2018","Rs.1000","12-DEC-2023"
"Rajshree Polypack Limited","SME",,"RPPL","10-SEP-2018","12-SEP-2018","119 to 121","24-SEP-2018"
"AKG Exim Limited","SME",,"AKG","10-SEP-2018","14-SEP-2018","93.3","16-FEB-2021"
"Lagnam Spintex Limited","SME",,"LAGNAM","04-SEP-2018","07-SEP-2018","41","30-SEP-2021"
"Sumit Woods Limited","SME",,"SUMIT","29-AUG-2018","31-AUG-2018","23.85","30-JUL-2019"
"Marshall Machines Limited","SME",,"MARSHALL","28-AUG-2018","30-AUG-2018","33","22-NOV-2021"
"Supreme Engineering Limited","SME",,"SUPREMEENG","24-AUG-2018","29-AUG-2018","23","04-DEC-2020"
"Dangee Dums Limited","SME",,"DANGEE","20-AUG-2018","24-AUG-2018","92","13-NOV-2020"
"Aaron Industries Limited","SME",,"AARON","20-AUG-2018","24-AUG-2018","27","06-NOV-2020"
"Powerful Technologies Limited","SME",,"POWERFUL","09-AUG-2018","17-AUG-2018","51","28-AUG-2018"
"CreditAccess Grameen Limited","NE","  1000","CREDITACC","08-AUG-2018","10-AUG-2018","Rs 418 to Rs 422","11-SEP-2023"
"Saketh Exim Limited","SME",,"SAKETH","01-AUG-2018","03-AUG-2018","69","13-AUG-2018"
"HDFC Asset Management Company Limited","EQ","-","HDFCAMC","25-JUL-2018","27-JUL-2018","Rs.1095 to Rs.1100","-"
"ECL Finance Limited","NP","  1000","ECLFINANCE","24-JUL-2018","26-JUL-2018","Rs.1000","08-JAN-2019"
"Ushanti Colour Chem Limited","SME",,"UCL","23-JUL-2018","25-JUL-2018","60","02-AUG-2018"
"TCNS Clothing Co. Limited","EQ","   716","TCNSBRANDS","18-JUL-2018","20-JUL-2018","Rs.714 to Rs.716","30-JUL-2018"
"Avon Moldplast Limited","SME",,"AVONMPL","12-JUL-2018","18-JUL-2018","51","26-JUL-2018"
"Ambani Organics Limited","SME",,"AMBANIORG","06-JUL-2018","10-JUL-2018","66","18-JUL-2018"
"Rudrabhishek Enterprises Limited","SME",,"REPL","29-JUN-2018","05-JUL-2018","96","14-DEC-2020"
"Jakharia Fabric Limited","SME",,"JAKHARIA","29-JUN-2018","03-JUL-2018","180","11-JUL-2018"
"Ganga Forging Limited","SME",,"GANGAFORGE","29-JUN-2018","03-JUL-2018","93","06-JUL-2021"
"Shriram Transport Finance Company Limited - NCD 8","DEBT","-","STFNCD8","27-JUN-2018","03-JUL-2018","Rs 1000","-"
"Varroc Engineering Limited","EQ","   967","VARROC","26-JUN-2018","28-JUN-2018","Rs 965 to Rs 967","06-JUL-2018"
"Bright Solar Limited","SME",,"BRIGHT","26-JUN-2018","29-JUN-2018","36","09-JUL-2018"
"Fine Organic Industries Limited","EQ","   783","FINEORG","20-JUN-2018","22-JUN-2018","Rs 780 to Rs 783","02-JUL-2018"
"RITES Limited","EQ","   185","RITES","20-JUN-2018","22-JUN-2018","Rs 180 to Rs 185","02-JUL-2018"
"Accuracy Shipping Limited","SME",,"ACCURACY","11-JUN-2018","14-JUN-2018","27","11-DEC-2020"
"Priti International Limited","SME",,"PRITI","11-JUN-2018","13-JUN-2018","66","02-MAR-2022"
"Shreeoswal Seeds and Chemicals Limited","SME",,"OSWALSEEDS","07-JUN-2018","12-JUN-2018","348","28-FEB-2023"
"Sonam Clock Limited","SME",,"SONAMCLOCK","01-JUN-2018","06-JUN-2018","75","07-APR-2022"
"Sorich Foils Limited","SME",,"SORICH","24-MAY-2018","25-MAY-2018","16","-"
"Debock Sales and Marketing Limited","SME",,"DSML","24-MAY-2018","28-MAY-2018","20","05-JUN-2018"
"Latteys Industries Limited","SME",,"LATTEYS","23-MAY-2018","28-MAY-2018","35","23-MAY-2023"
"Shree Vasu Logistics Limited","SME",,"SVLL","23-MAY-2018","25-MAY-2018","127","21-APR-2023"
"Dewan Housing Finance Corporation Limited","NZ","  1000","DHFL","22-MAY-2018","24-MAY-2018","Rs 1000","06-JUN-2018"
"Suumaya Lifestyle Limited","SME",,"SUULD","22-MAY-2018","25-MAY-2018","55","19-OCT-2020"
"Sirca Paints India Limited","SME",,"SIRCA","16-MAY-2018","22-MAY-2018","202","22-JUL-2019"
"IndoStar Capital Finance Limited","EQ","   572","INDOSTAR","09-MAY-2018","11-MAY-2018","Rs 570 to Rs 572","21-MAY-2018"
"Five Core Electronics Limited","SME",,"FIVECORE","09-MAY-2018","11-MAY-2018","140","21-MAY-2018"
"E2E Networks Limited","SME",,"E2E","03-MAY-2018","07-MAY-2018","124","12-APR-2022"
"SoftTech Engineers Limited","SME",,"SOFTTECH","27-APR-2018","03-MAY-2018","131","25-FEB-2022"
"Godha Cabcon and Insulation Limited","SME",,"GODHA","27-APR-2018","03-MAY-2018","30 to 33","11-MAY-2018"
"Aakash Exploration Services Limited","SME",,"AAKASH","17-APR-2018","19-APR-2018","53","29-SEP-2020"
"Mahickra Chemicals Limited","SME",,"MAHICKRA","16-APR-2018","18-APR-2018","Rs. 24 to Rs. 25","26-APR-2018"
"Bombay Super Hybrid Seeds Limited","SME",,"BSHSL","12-APR-2018","17-APR-2018","92","28-OCT-2020"
"Power and Instrumentation (Gujarat) Limited","SME",,"PIGL","11-APR-2018","13-APR-2018","33","23-APR-2018"
"Vera Synthetic Limited","SME",,"VERA","28-MAR-2018","04-APR-2018","40","12-APR-2018"
"AVG Logistics Limited","SME",,"AVG","28-MAR-2018","03-APR-2018","168","12-MAY-2023"
"MMP Industries Limited","SME",,"MMP","28-MAR-2018","04-APR-2018","105","09-JAN-2020"
"S S Infrastructure Development Consultants Limited","SME",,"SSINFRA","28-MAR-2018","05-APR-2018","37 to 40","12-APR-2018"
"Soni Soya Products Limited","SME",,"SONISOYA","28-MAR-2018","04-APR-2018","25","12-APR-2018"
"Narmada Agrobase Limited","SME",,"NARMADA","28-MAR-2018","11-APR-2018","22","27-OCT-2022"
"Lemon Tree Hotels Limited","EQ","    56","LEMONTREE","26-MAR-2018","28-MAR-2018","Rs 54 to Rs 56","09-APR-2018"
"Penta Gold Limited","SME",,"PENTAGLTD","23-MAR-2018","27-MAR-2018","37","25-APR-2018"
"ICICI Securities Limited","EQ","   520","ISEC","22-MAR-2018","26-MAR-2018","Rs 519 to Rs 520","04-APR-2018"
"Mishra Dhatu Nigam Limited","EQ","    90","MIDHANI","21-MAR-2018","23-MAR-2018","Rs 87 to Rs 90","04-APR-2018"
"Continental Seeds and Chemicals Limited","SME",,"CONTI","21-MAR-2018","23-MAR-2018","26","04-APR-2018"
"Kapston Facilities Management Limited","SME",,"KAPSTON","21-MAR-2018","23-MAR-2018","91","27-MAY-2020"
"Sandhar Technologies Limited","EQ","   332","SANDHAR","19-MAR-2018","21-MAR-2018","Rs 327 to Rs 332","02-APR-2018"
"Mittal Life Style Limited","SME",,"MITTAL","19-MAR-2018","21-MAR-2018","103","29-APR-2020"
"Giriraj Civil Developers Limited","SME",,"GIRIRAJ","19-MAR-2018","21-MAR-2018","100","02-APR-2018"
"Hindustan Aeronautics Limited","EQ","  1215","HAL","16-MAR-2018","20-MAR-2018","Rs 1215 to Rs 1240","28-MAR-2018"
"Karda Constructions Limited","EQ","   180","KARDA","16-MAR-2018","21-MAR-2018","Rs 175 to Rs 180","02-APR-2018"
"Uravi T and Wedge Lamps Limited","SME",,"URAVI","16-MAR-2018","20-MAR-2018","265","05-JUL-2023"
"Bandhan Bank Limited","EQ","   375","BANDHANBNK","15-MAR-2018","19-MAR-2018","Rs 370 to Rs 375","27-MAR-2018"
"Bharat Dynamics Limited","EQ","   428","BDL","13-MAR-2018","15-MAR-2018","Rs 413 to Rs 428","23-MAR-2018"
"Tara Chand Logistic Solutions Limited","SME",,"TARACHAND","13-MAR-2018","15-MAR-2018","55","23-MAR-2018"
"Marvel Decor Limited","SME",,"MDL","12-MAR-2018","15-MAR-2018","57","23-MAR-2018"
"Macpower CNC Machines Limited","SME",,"MACPOWER","12-MAR-2018","14-MAR-2018","50.35","19-AUG-2020"
"Edelweiss Retail Finance Limited","N6","  1000","ERFLNCDI","07-MAR-2018","14-MAR-2018","Rs 1000","26-MAR-2018"
"Sarveshwar Foods Limited","SME",,"SARVESHWAR","05-MAR-2018","07-MAR-2018","70","08-DEC-2022"
"Uniinfo Telecom Services Limited","SME",,"UNIINFO","05-MAR-2018","07-MAR-2018","43","12-JAN-2022"
"H.G.Infra Engineering Limited","EQ","-","HGINFRA","26-FEB-2018","28-FEB-2018","Rs 263 to Rs 270","-"
"Hindcon Chemicals Limited","SME",,"HINDCON","26-FEB-2018","28-FEB-2018","39","05-JUL-2021"
"CKP Leisure Limited","SME",,"CKPLEISURE","21-FEB-2018","23-FEB-2018","30","06-MAR-2018"
"Aster DM Healthcare Limited","EQ","   190","ASTERDM","12-FEB-2018","15-FEB-2018","Rs 180 to Rs 190","26-FEB-2018"
"SREI Infrastructure Finance Limited","YC","  1000","SREINFRA","09-FEB-2018","07-MAR-2018","Rs 1000","21-MAR-2018"
"Arvee Laboratories India Limited","SME",,"ARVEE","09-FEB-2018","14-FEB-2018","61","22-FEB-2018"
"South West Pinnacle Exploration Limited","SME",,"SOUTHWEST","06-FEB-2018","08-FEB-2018","78","19-FEB-2018"
"Sintercom India Limited","SME",,"SINTERCOM","05-FEB-2018","07-FEB-2018","80","07-OCT-2020"
"Banka BioLoo Limited","SME",,"BANKA","05-FEB-2018","16-FEB-2018","31.55","29-OCT-2020"
"Mohini Health and Hygiene Limited","SME",,"MHHL","05-FEB-2018","07-FEB-2018","42","16-FEB-2018"
